Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2022-000001,08/02/2022,08/05/2022,Standard Class,CG-46048,Aaron Lewis,Home Office,United States,Philadelphia,Pennsylvania,23434,East,TEC-PH-1520,Technology,Phones,Samsung Galaxy Phone,336.8,4,0.0,60.11
2,US-2022-000002,08/23/2022,08/23/2022,Same Day,CG-68878,Diana Thomas,Home Office,United States,Milwaukee,Wisconsin,30926,Central,OFF-EN-3547,Office Supplies,Envelopes,Poly String Envelope,396.96,6,0.0,-19.45
3,US-2022-000002,08/23/2022,08/24/2022,First Class,CG-70217,Carlos Davis,Corporate,United States,Denver,Colorado,82357,West,TEC-CO-4150,Technology,Copiers,Brother Copier,1764.38,1,0.0,621.93
4,US-2022-000002,08/23/2022,08/23/2022,Same Day,CG-69429,Fiona Harris,Consumer,United States,Springfield,Illinois,56566,Central,TEC-CO-2169,Technology,Copiers,Brother Copier,3206.15,3,0.3,796.65
5,US-2022-000002,08/23/2022,08/27/2022,Second Class,CG-17331,Oscar Jones,Corporate,United States,Baltimore,Maryland,51347,East,OFF-ST-6155,Office Supplies,Storage,Fellowes Banker Box,444.45,8,0.15,202.13
6,US-2020-000003,05/20/2020,05/23/2020,First Class,CG-86622,Nina Allen,Consumer,United States,Lexington,Kentucky,57447,South,FUR-FU-1771,Furniture,Furnishings,Eldon Shelf,3112.47,3,0.0,577.81
7,US-2021-000004,02/20/2021,02/20/2021,Same Day,CG-82512,Ivan Clark,Home Office,United States,Las Vegas,Nevada,99353,West,OFF-EN-5808,Office Supplies,Envelopes,Staple Manila Envelope,1052.48,8,0.0,446.88
8,US-2021-000004,02/20/2021,02/25/2021,Standard Class,CG-93748,Hannah Hall,Home Office,United States,Pittsburgh,Pennsylvania,31174,East,TEC-PH-9005,Technology,Phones,Motorola Smartphone,333.45,6,0.05,1.98
9,US-2021-000004,02/20/2021,02/26/2021,Standard Class,CG-19071,Laura Harris,Home Office,United States,Harrisburg,Pennsylvania,72296,East,FUR-TA-4470,Furniture,Tables,Bevis Round Table,4243.95,4,0.05,-136.5
10,US-2021-000004,02/20/2021,02/20/2021,Same Day,CG-42493,Beth Anderson,Home Office,United States,Rochester,New York,12757,East,TEC-AC-1117,Technology,Accessories,Belkin USB Hub,186.77,1,0.0,-19.83
11,US-2020-000005,05/02/2020,05/05/2020,First Class,CG-73624,Nina Harris,Home Office,United States,Richmond,Virginia,84847,East,OFF-BI-7669,Office Supplies,Binders,Avery Binder,99.86,2,0.15,11.14
